item_id,file_type,language,is_restricted,ocr_text_extracted,collection_id,subject_tags,file_size_mb,num_pages_or_frames,content_length_tokens,access_count_30d,duration_seconds,upload_year,upload_day_of_year,num_detected_objects
ITEM-0001151,pdf,es,false,true,COLL-009,accessibility,13.99,112,10097,20,8.23,2025,253,0
ITEM-0001152,image,zh,false,true,COLL-003,"digital preservation,metadata quality",15.42,288,22517,10,14.57,2020,146,0
ITEM-0001153,pdf,fr,false,true,COLL-018,policy,16.23,59,28767,17,113.39,2015,260,0
ITEM-0001154,image,fa,false,true,COLL-016,"accessibility,thesis,policy",19.83,249,16147,20,42.17,2016,60,1
ITEM-0001155,pdf,en,false,true,COLL-012,linguistics,11.37,238,26054,14,46.47,2025,34,0
ITEM-0001156,text,es,false,true,COLL-017,"accessibility,poster,digital preservation",18.71,53,29567,20,40.65,2024,244,1
ITEM-0001157,pdf,ar,false,true,COLL-014,"machine learning,accessibility",9.73,224,28786,17,119.54,2022,3,0
ITEM-0001158,text,ar,false,false,COLL-017,"accessibility,policy",1.57,182,380,9,79.78,2016,262,1
ITEM-0001159,image,es,false,false,COLL-020,"accessibility,video lecture,linguistics",6.51,195,5856,9,48.82,2017,26,1
ITEM-0001160,pdf,es,false,true,COLL-018,"accessibility,training material,poster",2.36,113,751,8,92.16,2021,169,0
ITEM-0001161,text,es,false,true,COLL-002,accessibility,6.3,256,8291,17,78.95,2018,182,0
ITEM-0001162,text,fa,false,true,COLL-019,"thesis,accessibility,video lecture",2.34,294,1925,18,0.48,2020,96,0
ITEM-0001163,pdf,fr,false,false,COLL-017,metadata quality,3.78,103,1535,20,110.18,2020,101,0
ITEM-0001164,pdf,en,false,true,COLL-013,training material,0.6,146,1281,16,105.01,2021,51,1
ITEM-0001165,pdf,es,false,true,COLL-020,"machine learning,accessibility",6.21,260,24358,4,48.54,2018,8,1
ITEM-0001166,image,es,false,true,COLL-002,thesis,8.41,115,27652,6,89.61,2024,49,0
ITEM-0001167,pdf,en,false,true,COLL-001,"accessibility,video lecture",15.03,161,9356,2,82.09,2025,277,1
ITEM-0001168,text,fa,false,true,COLL-015,"thesis,digital preservation,linguistics",4.52,113,1427,4,17.64,2018,236,1
ITEM-0001169,text,fa,true,true,COLL-015,machine learning,8.09,174,26702,6,104.39,2020,177,1
ITEM-0001170,pdf,zh,false,true,COLL-014,policy,15.74,198,22179,1,89.8,2019,233,0
ITEM-0001171,pdf,it,false,false,COLL-016,"audio interview,digital preservation",15.82,228,19890,16,7.84,2022,82,1
ITEM-0001172,pdf,fr,false,true,COLL-017,"accessibility,audio interview",9.87,170,5561,14,108.58,2019,115,1
ITEM-0001173,image,es,false,true,COLL-008,"training material,poster,linguistics",17.31,256,29458,16,95.94,2015,258,0
ITEM-0001174,pdf,ar,false,true,COLL-014,"video lecture,machine learning,policy",18.48,51,22312,20,59.64,2025,274,0
ITEM-0001175,text,de,false,true,COLL-020,"poster,video lecture,accessibility",4.27,267,1576,3,87.91,2022,294,1
ITEM-0001176,text,ar,false,true,COLL-011,"thesis,metadata quality",7.91,216,13024,19,23.55,2024,227,0
ITEM-0001177,text,en,false,true,COLL-003,linguistics,19.17,339,8381,0,82.77,2017,217,0
ITEM-0001178,text,es,true,true,COLL-019,"accessibility,audio interview",19.8,163,9447,17,52.95,2017,164,0
ITEM-0001179,pdf,es,false,true,COLL-018,"linguistics,thesis,machine learning",13.04,224,8063,14,107.17,2021,314,0
ITEM-0001180,pdf,fa,false,true,COLL-017,"thesis,poster,audio interview",9.78,53,26538,8,64.93,2024,60,1
ITEM-0001181,image,es,false,true,COLL-009,digital preservation,0.5,281,1642,11,112.16,2015,111,0
ITEM-0001182,pdf,de,false,true,COLL-015,poster,16.54,141,29000,7,88.5,2024,102,0
ITEM-0001183,text,fa,false,true,COLL-006,"metadata quality,machine learning",3.12,154,1582,3,87.09,2022,12,1
ITEM-0001184,pdf,de,true,true,COLL-014,digital preservation,3.84,265,1501,1,63.96,2015,348,0
ITEM-0001185,text,fr,false,true,COLL-019,policy,5.69,321,27188,16,85.65,2024,344,1
ITEM-0001186,image,de,false,true,COLL-001,metadata quality,8.79,192,19584,19,100.4,2017,335,1
ITEM-0001187,image,fr,false,true,COLL-018,training material,6.26,347,7982,17,55.78,2023,341,0
ITEM-0001188,pdf,de,false,true,COLL-002,"poster,training material,accessibility",9.85,119,29170,20,69.68,2020,296,0
ITEM-0001189,text,ar,false,true,COLL-002,"policy,thesis",5.21,325,22205,17,10.03,2017,333,0
ITEM-0001190,text,es,false,true,COLL-003,"video lecture,policy,digital preservation",3.22,315,283,7,83.85,2022,3,0
ITEM-0001191,image,en,true,true,COLL-019,accessibility,13.79,63,5377,10,3.6,2024,248,0
ITEM-0001192,image,en,false,false,COLL-011,"linguistics,accessibility",13.92,274,8219,15,114.37,2015,235,1
ITEM-0001193,pdf,fr,false,true,COLL-016,"policy,training material",16.0,199,29658,16,77.47,2016,288,1
ITEM-0001194,text,it,true,true,COLL-001,poster,18.25,306,14469,2,18.07,2018,191,0
ITEM-0001195,text,zh,false,true,COLL-019,thesis,1.45,226,873,8,106.3,2015,364,1
ITEM-0001196,text,fr,false,true,COLL-002,"machine learning,policy,linguistics",8.55,239,15539,8,61.4,2019,39,0
ITEM-0001197,text,en,false,true,COLL-017,digital preservation,8.43,335,25126,7,49.22,2021,340,1
ITEM-0001198,image,es,false,false,COLL-001,"linguistics,audio interview",1.76,112,2000,8,96.24,2017,305,1
ITEM-0001199,pdf,fa,false,true,COLL-003,"audio interview,thesis",19.26,305,20520,20,21.29,2020,287,0
ITEM-0001200,pdf,zh,false,true,COLL-008,"digital preservation,video lecture",3.52,366,919,2,16.98,2023,52,1
ITEM-0001201,text,en,false,true,COLL-013,video lecture,14.58,208,8410,16,51.71,2015,337,1
ITEM-0001202,pdf,ar,false,true,COLL-010,machine learning,18.95,145,6386,11,90.92,2023,309,1
ITEM-0001203,image,en,false,true,COLL-012,training material,13.54,193,18473,15,45.27,2020,276,1
ITEM-0001204,image,en,false,true,COLL-010,"linguistics,machine learning,audio interview",14.1,219,14025,16,21.41,2020,82,0
ITEM-0001205,text,es,false,true,COLL-005,accessibility,5.16,149,16634,6,25.07,2021,213,1
ITEM-0001206,pdf,de,false,true,COLL-007,"thesis,digital preservation",2.34,113,1055,19,54.57,2021,293,0
ITEM-0001207,pdf,es,false,true,COLL-017,"video lecture,metadata quality",8.4,258,6284,10,119.93,2023,41,0
ITEM-0001208,pdf,de,false,false,COLL-001,"accessibility,video lecture,metadata quality",2.36,332,1695,16,103.01,2015,44,0
ITEM-0001209,text,ar,false,true,COLL-009,"audio interview,poster,accessibility",2.68,56,1172,4,100.51,2022,263,0
ITEM-0001210,text,ar,false,true,COLL-010,"accessibility,linguistics,training material",19.23,398,25350,13,110.0,2019,144,0
ITEM-0001211,text,it,false,true,COLL-005,"thesis,digital preservation",12.97,199,22669,18,34.42,2017,217,0
ITEM-0001212,pdf,it,false,true,COLL-003,audio interview,16.39,358,24876,5,112.99,2015,302,0
ITEM-0001213,text,en,false,true,COLL-016,"metadata quality,linguistics",18.71,258,22567,9,15.61,2024,111,0
ITEM-0001214,pdf,en,false,false,COLL-002,"thesis,video lecture,metadata quality",19.34,109,8145,1,62.32,2019,287,0
ITEM-0001215,image,it,true,false,COLL-007,digital preservation,8.26,63,29993,19,10.61,2016,266,1
ITEM-0001216,image,fr,false,true,COLL-016,"training material,digital preservation",15.47,76,16658,8,107.7,2020,260,1
ITEM-0001217,text,en,false,false,COLL-007,"audio interview,thesis",12.61,70,14515,16,99.77,2017,261,0
ITEM-0001218,pdf,de,false,true,COLL-004,accessibility,9.8,119,22321,17,88.4,2015,189,1
ITEM-0001219,text,es,false,true,COLL-006,policy,13.51,360,5591,14,82.93,2020,253,0
ITEM-0001220,image,fa,false,true,COLL-018,"poster,linguistics,policy",19.84,356,18200,18,96.88,2023,219,1
ITEM-0001221,image,de,false,true,COLL-010,training material,2.25,237,1196,16,35.47,2022,52,1
ITEM-0001222,pdf,de,false,true,COLL-014,"poster,training material",17.8,139,11371,18,74.25,2016,79,0
ITEM-0001223,text,es,false,true,COLL-001,"policy,digital preservation,thesis",19.23,61,27927,1,48.94,2016,270,1
ITEM-0001224,pdf,fr,false,true,COLL-001,"machine learning,video lecture",6.54,216,12221,7,62.4,2022,107,1
ITEM-0001225,pdf,fr,false,true,COLL-018,"digital preservation,metadata quality,audio interview",19.22,339,27778,3,117.79,2018,303,1
ITEM-0001226,pdf,de,true,true,COLL-014,linguistics,2.32,226,874,17,45.89,2022,25,1
ITEM-0001227,pdf,zh,false,true,COLL-013,"digital preservation,thesis,audio interview",16.7,210,22318,4,91.98,2025,131,1
ITEM-0001228,pdf,en,true,false,COLL-014,"metadata quality,linguistics,accessibility",17.07,65,6329,8,75.12,2020,134,0
ITEM-0001229,pdf,de,false,true,COLL-001,accessibility,19.97,307,17687,3,100.05,2015,308,0
ITEM-0001230,image,es,false,true,COLL-015,"digital preservation,training material",7.82,91,14150,1,73.45,2022,23,1
ITEM-0001231,image,ar,false,true,COLL-001,"policy,linguistics",4.32,260,1414,18,113.93,2015,207,0
ITEM-0001232,text,fa,false,true,COLL-012,training material,12.18,279,28406,12,19.48,2023,52,0
ITEM-0001233,image,es,false,true,COLL-013,"linguistics,training material,audio interview",16.07,246,20536,15,87.0,2016,295,0
ITEM-0001234,pdf,ar,false,false,COLL-007,"metadata quality,accessibility",1.81,168,1029,6,23.81,2025,186,0
ITEM-0001235,image,fr,true,true,COLL-014,training material,9.61,134,11714,2,55.71,2015,322,0
ITEM-0001236,pdf,de,false,true,COLL-018,"audio interview,linguistics",19.6,329,21244,10,15.88,2019,80,1
ITEM-0001237,text,zh,false,false,COLL-004,"audio interview,linguistics",12.05,74,15584,5,103.75,2024,253,0
ITEM-0001238,text,es,false,false,COLL-016,"training material,digital preservation,poster",19.9,178,27349,7,54.21,2019,171,0
ITEM-0001239,image,de,false,false,COLL-014,poster,1.97,301,1898,5,76.69,2016,55,0
ITEM-0001240,text,de,false,true,COLL-004,"digital preservation,training material,video lecture",11.15,360,27504,15,94.13,2017,227,1
ITEM-0001241,image,fa,false,false,COLL-004,"policy,machine learning",8.46,280,29584,10,27.47,2020,193,0
ITEM-0001242,pdf,ar,false,true,COLL-005,linguistics,8.35,315,18273,15,28.31,2024,236,0
ITEM-0001243,text,ar,true,true,COLL-015,linguistics,16.89,217,16445,5,26.87,2015,354,0
ITEM-0001244,image,fr,false,true,COLL-015,"machine learning,training material,poster",5.67,317,7387,18,18.04,2015,298,0
ITEM-0001245,image,en,false,true,COLL-002,"machine learning,poster",15.57,361,25428,8,28.23,2023,287,1
ITEM-0001246,text,fr,false,true,COLL-020,"training material,accessibility,poster",13.99,271,22769,7,79.48,2020,253,1
ITEM-0001247,image,it,true,false,COLL-008,"metadata quality,policy,linguistics",6.03,284,21630,14,75.13,2022,291,0
ITEM-0001248,image,it,false,true,COLL-020,linguistics,9.81,145,26519,17,92.29,2025,173,0
ITEM-0001249,pdf,fa,false,true,COLL-005,video lecture,13.44,302,22439,14,59.39,2021,28,1
ITEM-0001250,image,en,false,true,COLL-008,"machine learning,audio interview",10.56,69,29568,6,59.27,2022,235,1
ITEM-0001251,text,en,true,true,COLL-009,"digital preservation,video lecture,poster",17.72,245,17784,11,90.67,2022,252,1
ITEM-0001252,pdf,ar,false,true,COLL-006,"thesis,digital preservation,training material",5.73,285,17883,5,112.11,2017,73,1
ITEM-0001253,text,fr,false,true,COLL-011,training material,14.92,149,12280,8,94.74,2018,298,0
ITEM-0001254,pdf,fa,false,true,COLL-008,"training material,poster",15.35,249,16250,15,21.35,2021,166,0
ITEM-0001255,text,en,false,true,COLL-009,"training material,video lecture",15.74,104,21530,11,12.27,2019,52,1
ITEM-0001256,text,de,true,true,COLL-020,linguistics,0.8,398,1683,10,90.72,2024,92,1
ITEM-0001257,pdf,de,false,true,COLL-019,audio interview,17.93,296,8709,18,8.94,2016,311,1
ITEM-0001258,text,zh,false,true,COLL-011,accessibility,15.97,251,11887,2,100.63,2015,362,1
ITEM-0001259,image,es,false,true,COLL-011,machine learning,4.72,159,1914,5,43.93,2020,124,1
ITEM-0001260,pdf,en,false,true,COLL-013,"training material,accessibility,linguistics",19.22,379,9904,8,114.33,2018,66,0
ITEM-0001261,text,fr,false,true,COLL-018,"metadata quality,digital preservation",9.72,294,9313,1,72.61,2018,17,0
ITEM-0001262,text,fa,false,true,COLL-015,"audio interview,digital preservation",17.86,263,19029,10,66.89,2025,261,0
ITEM-0001263,image,ar,false,true,COLL-012,"poster,audio interview",3.2,392,1617,10,61.23,2021,26,1
ITEM-0001264,image,fa,false,true,COLL-001,machine learning,3.97,110,1358,4,36.55,2024,41,0
ITEM-0001265,pdf,fr,false,true,COLL-004,"video lecture,accessibility",3.54,350,570,9,44.7,2015,298,0
ITEM-0001266,image,fa,false,true,COLL-004,"audio interview,linguistics",4.56,317,169,10,40.79,2022,38,0
ITEM-0001267,text,de,false,false,COLL-015,"audio interview,metadata quality,digital preservation",17.1,350,17642,16,74.03,2016,226,1
ITEM-0001268,pdf,es,false,true,COLL-006,"training material,accessibility,digital preservation",15.06,135,21885,4,43.96,2018,84,1
ITEM-0001269,text,es,true,true,COLL-003,"thesis,metadata quality,audio interview",4.21,123,1342,2,15.16,2022,11,0
ITEM-0001270,pdf,it,false,true,COLL-015,digital preservation,10.05,226,20177,6,86.11,2020,356,0
ITEM-0001271,pdf,fa,false,true,COLL-002,"digital preservation,poster",18.05,235,13530,15,55.71,2020,156,1
ITEM-0001272,pdf,fa,true,false,COLL-015,linguistics,2.26,333,1446,14,45.89,2023,67,0
ITEM-0001273,image,de,false,true,COLL-006,video lecture,9.64,151,12047,2,54.86,2023,303,1
ITEM-0001274,text,fr,false,true,COLL-011,"poster,accessibility,audio interview",4.04,364,1260,4,69.2,2023,114,0
ITEM-0001275,pdf,de,false,false,COLL-009,"accessibility,policy",5.11,216,10457,17,17.26,2022,321,1
ITEM-0001276,text,zh,false,true,COLL-011,"audio interview,poster",14.63,162,21157,14,88.45,2024,24,0
ITEM-0001277,text,it,true,true,COLL-015,digital preservation,16.31,109,28757,15,73.35,2025,6,0
ITEM-0001278,pdf,de,false,false,COLL-011,poster,1.58,289,1320,7,80.01,2023,23,1
ITEM-0001279,text,fa,false,true,COLL-002,"thesis,digital preservation,machine learning",19.05,64,9890,16,29.16,2016,187,0
ITEM-0001280,image,it,false,true,COLL-012,"training material,video lecture,digital preservation",17.73,360,21021,8,91.32,2020,299,1
ITEM-0001281,text,zh,false,true,COLL-003,"poster,video lecture,accessibility",5.12,70,6994,17,47.32,2015,72,0
ITEM-0001282,pdf,fr,false,true,COLL-019,"video lecture,machine learning,accessibility",9.47,157,10341,11,100.22,2015,94,0
ITEM-0001283,image,de,false,true,COLL-016,thesis,6.4,311,29081,15,33.26,2015,233,0
ITEM-0001284,image,fr,false,true,COLL-006,linguistics,13.89,124,8773,15,11.15,2015,199,1
ITEM-0001285,pdf,es,false,true,COLL-004,digital preservation,18.52,388,29663,14,49.21,2015,220,0
ITEM-0001286,image,it,false,true,COLL-020,"thesis,machine learning,audio interview",1.32,119,1014,19,86.6,2022,154,1
ITEM-0001287,pdf,it,false,true,COLL-010,"accessibility,digital preservation,audio interview",11.65,324,11828,13,45.63,2022,148,0
ITEM-0001288,image,fr,false,false,COLL-019,"video lecture,digital preservation,poster",3.93,335,1717,2,34.13,2022,5,1
ITEM-0001289,image,fa,false,true,COLL-001,linguistics,12.13,149,24379,12,15.46,2018,338,1
ITEM-0001290,pdf,es,false,true,COLL-005,"thesis,metadata quality",11.59,348,27759,11,15.38,2024,87,1
ITEM-0001291,pdf,de,false,true,COLL-003,"digital preservation,machine learning,linguistics",18.74,248,17015,17,39.2,2023,202,1
ITEM-0001292,pdf,it,false,true,COLL-020,policy,19.81,364,16856,1,50.7,2020,138,0
ITEM-0001293,pdf,fr,false,true,COLL-004,"video lecture,audio interview",14.52,61,24359,2,51.75,2017,204,1
ITEM-0001294,image,zh,true,true,COLL-001,"video lecture,metadata quality,policy",19.08,373,27428,5,99.33,2017,178,0
ITEM-0001295,text,ar,false,true,COLL-006,audio interview,11.51,207,18867,20,54.18,2019,59,0
ITEM-0001296,pdf,en,false,true,COLL-017,machine learning,9.85,286,13228,3,16.42,2015,12,1
ITEM-0001297,pdf,it,false,true,COLL-018,training material,4.54,280,305,13,66.46,2018,36,1
ITEM-0001298,image,es,false,true,COLL-015,thesis,2.4,353,403,11,53.73,2024,271,0
ITEM-0001299,pdf,ar,true,true,COLL-010,"training material,audio interview",10.41,77,13077,13,54.36,2022,362,1
ITEM-0001300,pdf,fa,false,true,COLL-017,"video lecture,policy,metadata quality",10.09,108,10733,6,96.12,2015,102,0
ITEM-0001301,pdf,ar,false,true,COLL-007,"metadata quality,digital preservation,policy",14.22,154,5972,19,30.45,2021,107,0
ITEM-0001302,image,es,false,true,COLL-016,machine learning,18.48,126,19313,13,106.76,2018,351,0
ITEM-0001303,image,en,false,true,COLL-002,"poster,policy",1.62,101,971,8,48.36,2018,258,1
ITEM-0001304,pdf,es,false,true,COLL-009,"machine learning,video lecture,thesis",13.5,60,6223,3,109.67,2021,207,1
ITEM-0001305,image,en,false,true,COLL-020,"metadata quality,poster",13.52,71,10640,2,38.0,2021,309,1
ITEM-0001306,image,it,false,true,COLL-013,"training material,audio interview,accessibility",10.82,83,26234,15,76.67,2020,72,0
ITEM-0001307,pdf,it,false,true,COLL-008,video lecture,8.51,160,9864,12,114.65,2018,79,1
ITEM-0001308,image,es,false,true,COLL-001,audio interview,9.02,392,21888,6,88.44,2021,196,1
ITEM-0001309,text,en,false,true,COLL-018,accessibility,3.72,121,1452,13,101.77,2017,147,0
ITEM-0001310,image,zh,true,false,COLL-018,thesis,2.24,390,1453,1,100.92,2022,27,0
ITEM-0001311,pdf,es,true,true,COLL-001,"training material,linguistics,audio interview",7.7,308,24512,19,68.59,2025,37,1
ITEM-0001312,text,zh,false,true,COLL-004,"video lecture,training material",18.59,329,7313,16,3.66,2025,10,1
ITEM-0001313,pdf,fr,true,true,COLL-018,metadata quality,10.51,309,19429,7,68.53,2019,332,1
ITEM-0001314,pdf,zh,false,true,COLL-003,training material,9.75,146,10892,15,79.99,2021,116,1
ITEM-0001315,image,fr,false,true,COLL-019,"policy,machine learning,audio interview",17.87,357,10418,18,32.45,2021,101,1
ITEM-0001316,image,fa,false,true,COLL-016,"linguistics,thesis,digital preservation",1.34,182,341,11,27.52,2023,315,0
ITEM-0001317,text,fa,false,true,COLL-020,"linguistics,audio interview",10.01,243,15921,17,66.98,2016,74,1
ITEM-0001318,text,it,false,true,COLL-015,digital preservation,16.78,185,13147,12,46.05,2015,105,1
ITEM-0001319,image,fa,false,true,COLL-001,"poster,thesis,audio interview",11.44,232,10236,3,46.31,2024,95,0
ITEM-0001320,text,fr,false,true,COLL-005,"policy,poster,accessibility",10.93,364,12469,17,83.6,2024,319,0
ITEM-0001321,pdf,de,false,true,COLL-020,"digital preservation,thesis,metadata quality",8.79,203,7922,19,99.96,2017,148,0
ITEM-0001322,pdf,en,false,true,COLL-017,metadata quality,2.61,50,934,6,57.01,2017,34,1
ITEM-0001323,pdf,zh,false,true,COLL-011,"machine learning,thesis,audio interview",6.98,192,16806,0,109.2,2020,204,1
ITEM-0001324,image,es,false,true,COLL-009,"training material,poster,linguistics",5.84,290,7070,18,49.97,2025,20,1
ITEM-0001325,image,fr,true,true,COLL-009,"training material,accessibility",12.79,51,28903,17,64.93,2020,66,1
ITEM-0001326,text,fa,false,true,COLL-008,"poster,metadata quality,training material",15.85,370,17927,10,74.71,2025,227,1
ITEM-0001327,image,zh,false,true,COLL-002,accessibility,9.09,96,15235,16,45.74,2018,298,1
ITEM-0001328,image,fa,false,true,COLL-004,policy,12.47,294,6919,19,81.54,2017,279,1
ITEM-0001329,text,ar,false,false,COLL-005,training material,2.03,325,1320,1,27.25,2017,118,1
ITEM-0001330,pdf,en,false,true,COLL-010,audio interview,11.8,244,6828,10,44.69,2015,32,1
ITEM-0001331,image,zh,false,true,COLL-018,"metadata quality,linguistics,policy",10.84,200,6538,18,30.03,2019,76,1
ITEM-0001332,text,ar,false,true,COLL-015,"training material,machine learning",8.5,132,13589,10,94.7,2024,73,0
ITEM-0001333,pdf,de,false,true,COLL-013,"digital preservation,linguistics",11.64,148,12232,9,92.16,2019,281,0
ITEM-0001334,text,ar,false,true,COLL-014,digital preservation,15.52,105,6775,10,84.07,2022,35,1
ITEM-0001335,text,it,false,true,COLL-011,"accessibility,metadata quality,machine learning",2.81,281,1660,4,35.29,2025,297,1
ITEM-0001336,image,zh,false,true,COLL-013,machine learning,2.52,97,304,5,33.71,2025,78,1
ITEM-0001337,image,it,false,true,COLL-003,poster,15.33,351,20551,17,1.8,2020,145,1
ITEM-0001338,image,fa,false,false,COLL-014,digital preservation,12.11,189,5446,11,53.29,2016,188,1
ITEM-0001339,text,ar,false,true,COLL-019,"metadata quality,training material,machine learning",14.74,178,22326,5,6.42,2023,91,0
ITEM-0001340,image,fr,false,true,COLL-018,"thesis,training material,video lecture",9.49,136,25825,11,116.84,2017,354,1
ITEM-0001341,text,zh,false,true,COLL-015,"digital preservation,thesis",17.63,74,13793,11,95.63,2022,212,0
ITEM-0001342,image,it,false,true,COLL-003,"policy,metadata quality",16.99,128,11342,2,13.37,2018,74,1
ITEM-0001343,pdf,en,false,true,COLL-018,"linguistics,digital preservation",15.4,378,26137,7,79.74,2020,179,0
ITEM-0001344,pdf,fa,false,true,COLL-009,"linguistics,thesis",16.48,385,5413,15,42.44,2023,360,0
ITEM-0001345,image,de,false,true,COLL-010,machine learning,1.15,216,570,19,119.32,2017,362,0
ITEM-0001346,text,zh,false,true,COLL-014,"digital preservation,audio interview",17.23,85,21865,20,88.84,2019,344,1
ITEM-0001347,image,ar,false,true,COLL-020,policy,5.46,77,19008,11,31.4,2024,70,0
ITEM-0001348,image,es,false,true,COLL-017,"linguistics,audio interview,training material",14.24,383,26030,17,12.86,2017,256,1
ITEM-0001349,image,en,false,false,COLL-016,"digital preservation,policy,accessibility",14.84,350,18945,19,68.15,2024,338,0
ITEM-0001350,pdf,fa,false,true,COLL-005,training material,5.85,242,13316,14,81.72,2015,150,0
ITEM-0001351,pdf,fr,false,false,COLL-018,"machine learning,metadata quality",13.15,170,22087,18,53.94,2021,135,0
ITEM-0001352,image,en,false,true,COLL-007,digital preservation,18.44,157,23565,5,113.24,2020,292,0
ITEM-0001353,pdf,fa,false,true,COLL-002,training material,2.86,139,571,3,1.79,2015,67,0
ITEM-0001354,text,es,true,true,COLL-010,video lecture,16.9,396,23288,19,80.58,2023,7,1
ITEM-0001355,text,de,false,true,COLL-017,policy,7.98,170,28740,2,34.65,2025,151,1
ITEM-0001356,image,ar,false,true,COLL-002,thesis,5.89,211,11389,17,76.98,2019,213,1
ITEM-0001357,text,zh,false,false,COLL-019,"policy,accessibility",14.8,256,29628,0,54.85,2015,15,0
ITEM-0001358,pdf,es,true,true,COLL-012,"accessibility,linguistics",6.96,249,26903,1,52.31,2018,5,1
ITEM-0001359,text,zh,false,true,COLL-017,"machine learning,video lecture,training material",14.23,278,5051,7,118.41,2016,47,1
ITEM-0001360,image,fa,false,true,COLL-001,"thesis,training material,metadata quality",15.32,200,11629,13,50.36,2019,87,0
ITEM-0001361,image,it,false,true,COLL-001,"poster,metadata quality",11.38,110,23538,16,107.72,2020,342,1
ITEM-0001362,image,de,false,false,COLL-005,"video lecture,policy",4.02,282,1266,14,101.27,2015,96,1
ITEM-0001363,text,es,false,true,COLL-019,"digital preservation,accessibility",17.06,145,23319,20,62.64,2015,61,1
ITEM-0001364,text,zh,false,true,COLL-005,"audio interview,metadata quality",15.79,110,15300,11,40.27,2020,168,1
ITEM-0001365,pdf,fa,false,true,COLL-006,digital preservation,12.24,380,27052,2,11.59,2018,53,0
ITEM-0001366,image,zh,false,true,COLL-005,training material,12.26,88,24255,15,40.11,2015,219,1
ITEM-0001367,image,fr,true,true,COLL-005,"policy,machine learning",7.26,213,6486,9,44.74,2023,271,1
ITEM-0001368,image,ar,false,false,COLL-015,thesis,14.35,82,6631,0,112.57,2017,169,1
ITEM-0001369,image,ar,false,false,COLL-009,machine learning,16.63,140,20401,8,101.71,2025,114,0
ITEM-0001370,image,zh,false,true,COLL-005,"accessibility,metadata quality",2.23,314,1968,16,78.23,2016,295,0
ITEM-0001371,pdf,ar,false,true,COLL-002,accessibility,18.86,53,17227,17,110.9,2015,270,1
ITEM-0001372,pdf,fa,true,false,COLL-012,policy,11.7,105,20198,0,73.25,2018,195,0
ITEM-0001373,text,ar,false,true,COLL-016,"linguistics,accessibility",1.54,66,189,18,16.34,2015,291,1
ITEM-0001374,image,fr,false,true,COLL-014,"training material,poster,thesis",17.61,217,23408,18,94.22,2017,199,1
ITEM-0001375,text,es,false,true,COLL-020,"training material,digital preservation,policy",17.37,181,24502,13,41.35,2025,266,1
ITEM-0001376,text,ar,true,true,COLL-018,"poster,metadata quality,thesis",4.44,159,269,9,97.31,2015,146,0
ITEM-0001377,text,de,false,false,COLL-014,"machine learning,metadata quality,audio interview",13.85,159,14724,2,56.19,2019,333,1
ITEM-0001378,image,de,false,false,COLL-010,"training material,thesis,linguistics",19.59,279,19066,13,4.67,2021,218,0
ITEM-0001379,pdf,en,false,true,COLL-015,"machine learning,metadata quality",6.42,245,12466,5,38.15,2019,202,1
ITEM-0001380,pdf,fr,false,true,COLL-002,"video lecture,linguistics,accessibility",7.52,236,7623,19,40.27,2016,289,1
ITEM-0001381,pdf,es,false,false,COLL-015,"metadata quality,accessibility,machine learning",1.33,64,1596,20,83.98,2024,357,0
ITEM-0001382,image,fr,false,true,COLL-020,"thesis,video lecture",3.28,399,1011,9,84.5,2015,222,1
ITEM-0001383,pdf,fr,false,false,COLL-019,"machine learning,linguistics",16.44,399,7724,8,83.84,2015,3,0
ITEM-0001384,pdf,ar,false,true,COLL-006,"linguistics,poster",3.58,75,1532,13,91.15,2018,213,0
ITEM-0001385,pdf,it,true,true,COLL-007,policy,5.56,66,16134,20,106.87,2018,62,1
ITEM-0001386,pdf,de,false,true,COLL-002,metadata quality,12.1,352,28209,1,111.69,2022,81,1
ITEM-0001387,image,es,true,true,COLL-002,metadata quality,6.11,56,14963,19,25.95,2022,270,0
ITEM-0001388,image,zh,false,false,COLL-008,"video lecture,poster,digital preservation",1.39,195,1657,19,83.85,2015,295,0
ITEM-0001389,image,ar,false,true,COLL-003,machine learning,19.22,174,29577,11,41.53,2022,253,1
ITEM-0001390,image,fa,false,false,COLL-018,accessibility,8.45,56,23927,15,68.33,2019,169,0
ITEM-0001391,text,fr,false,false,COLL-007,"audio interview,linguistics,video lecture",11.16,173,6444,14,57.3,2020,226,1
ITEM-0001392,pdf,ar,false,true,COLL-012,accessibility,17.31,284,21081,0,0.33,2023,186,1
ITEM-0001393,pdf,it,false,true,COLL-002,"digital preservation,poster,linguistics",10.12,250,9260,12,37.57,2018,75,0
ITEM-0001394,image,en,false,true,COLL-014,"machine learning,video lecture,thesis",4.77,98,1853,7,36.93,2015,63,0
ITEM-0001395,pdf,fr,false,true,COLL-013,"policy,thesis",0.61,311,947,17,66.69,2017,265,1
ITEM-0001396,text,ar,false,false,COLL-018,"policy,video lecture,digital preservation",15.99,397,14227,19,111.3,2025,270,1
ITEM-0001397,text,en,false,true,COLL-014,"digital preservation,machine learning,linguistics",2.21,266,1679,18,88.43,2016,322,1
ITEM-0001398,pdf,fr,true,true,COLL-003,"digital preservation,thesis",9.42,180,7547,11,62.48,2020,72,1
ITEM-0001399,image,fr,true,false,COLL-017,training material,14.42,270,11194,17,0.73,2016,41,0
